Año,Mes,Tarjeta de credito,Creditos en cuotas,Sobregiros,Total
2022.0,Agosto,26.52,17.71,36.22,26.83
2022.0,Septiembre,27.37,18.28,36.76,27.93
2022.0,Octubre,26.57,18.26,37.25,27.46
2022.0,Noviembre,26.75,18.15,38.13,27.69
2022.0,Diciembre,26.66,18.55,38.39,28.13
2023.0,Enero,27.93,18.6,38.45,28.69
2023.0,Febrero,28.84,18.62,38.27,29.37
2023.0,Marzo,26.78,18.0,38.17,27.66
2023.0,Abril,28.12,18.26,38.35,28.84
2023.0,Mayo,27.26,18.16,38.36,28.16
2023.0,Junio,28.18,18.12,38.8,28.91
2023.0,Julio,28.97,17.6,38.82,29.1
2023.0,Agosto,29.14,16.82,38.55,28.48
2023.0,Septiembre,29.18,17.37,37.96,28.98
2023.0,Octubre,26.94,17.89,38.15,27.86
2023.0,Noviembre,27.0,17.78,37.72,27.5
2023.0,Diciembre,26.61,17.73,37.49,27.58
2024.0,Enero,27.72,17.33,37.26,27.96
2024.0,Febrero,28.4,16.99,36.86,28.21
2024.0,Marzo,26.31,15.37,35.64,26.0
2024.0,Abril,25.18,16.42,35.57,25.84
2024.0,Mayo,24.99,15.84,34.62,25.27
2024.0,Junio,24.41,15.73,34.47,24.91
2024.0,Julio,24.89,15.99,34.03,25.18
2024.0,Agosto,24.12,15.59,33.7,24.22
2024.0,Septiembre,24.61,15.73,33.53,24.89
